label,image
blue-0,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/blue-0.svg
blue-1,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/blue-1.svg
blue-2,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/blue-2.svg
blue-3,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/blue-3.svg
blue-4,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/blue-4.svg
blue-5,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/blue-5.svg
green-0,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/green-0.svg
green-1,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/green-1.svg
green-2,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/green-2.svg
green-3,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/green-3.svg
green-4,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/green-4.svg
green-5,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/green-5.svg
orange-0,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/orange-0.svg
orange-1,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/orange-1.svg
orange-2,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/orange-2.svg
orange-3,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/orange-3.svg
orange-4,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/orange-4.svg
orange-5,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/orange-5.svg
purple-0,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/purple-0.svg
purple-1,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/purple-1.svg
purple-2,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/purple-2.svg
purple-3,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/purple-3.svg
purple-4,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/purple-4.svg
purple-5,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/purple-5.svg
red-0,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/red-0.svg
red-1,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/red-1.svg
red-2,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/red-2.svg
red-3,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/red-3.svg
red-4,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/red-4.svg
red-5,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/red-5.svg
yellow-0,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/yellow-0.svg
yellow-1,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/yellow-1.svg
yellow-2,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/yellow-2.svg
yellow-3,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/yellow-3.svg
yellow-4,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/yellow-4.svg
yellow-5,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/yellow-5.svg
,https://raw.githubusercontent.com/rayzg/other-games/master/aqualin/playingcards.io/
