label,image
c-07,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-07.svg
c-08,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-08.svg
c-09,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-09.svg
c-10,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-10.svg
c-b,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-b.svg
c-k,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-k.svg
c-n,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-n.svg
c-q,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/c-q.svg
d-01,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-01.svg
d-02,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-02.svg
d-03,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-03.svg
d-04,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-04.svg
d-b,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-b.svg
d-k,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-k.svg
d-n,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-n.svg
d-q,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/d-q.svg
h-01,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-01.svg
h-02,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-02.svg
h-03,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-03.svg
h-04,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-04.svg
h-b,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-b.svg
h-k,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-k.svg
h-n,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-n.svg
h-q,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/h-q.svg
s-07,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-07.svg
s-08,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-08.svg
s-09,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-09.svg
s-10,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-10.svg
s-b,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-b.svg
s-k,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-k.svg
s-n,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-n.svg
s-q,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/s-q.svg
t01,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t01.svg
t02,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t02.svg
t03,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t03.svg
t04,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t04.svg
t05,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t05.svg
t06,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t06.svg
t07,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t07.svg
t08,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t08.svg
t09,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t09.svg
t10,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t10.svg
t11,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t11.svg
t12,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t12.svg
t13,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t13.svg
t14,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t14.svg
t15,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t15.svg
t16,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t16.svg
t17,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t17.svg
t18,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t18.svg
t19,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t19.svg
t20,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t20.svg
t21,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t21.svg
t22,https://raw.githubusercontent.com/rayzg/other-games/master/austrian-tarok/playingcards.io/t22.svg
