label,image,back
club-01,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-01.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-01.svg
club-02,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-02.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-02.svg
club-03,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-03.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-03.svg
club-04,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-04.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-05.svg
club-05,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-05.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-06.svg
club-06,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-06.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-04.svg
club-07,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-07.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-10.svg
club-08,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-08.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-11.svg
club-09,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-09.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/club-12.svg
diamond-01,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-01.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-01.svg
diamond-02,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-02.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-02.svg
diamond-03,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-03.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-03.svg
diamond-04,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-04.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-05.svg
diamond-05,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-05.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-06.svg
diamond-06,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-06.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-04.svg
diamond-07,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-07.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-10.svg
diamond-08,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-08.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-11.svg
diamond-09,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-09.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/diamond-12.svg
heart-01,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-01.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-01.svg
heart-02,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-02.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-02.svg
heart-03,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-03.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-03.svg
heart-04,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-04.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-05.svg
heart-05,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-05.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-06.svg
heart-06,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-06.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-04.svg
heart-07,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-07.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-10.svg
heart-08,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-08.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-11.svg
heart-09,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-09.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/heart-12.svg
spade-01,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-01.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-01.svg
spade-02,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-02.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-02.svg
spade-03,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-03.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-03.svg
spade-04,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-04.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-05.svg
spade-05,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-05.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-06.svg
spade-06,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-06.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-04.svg
spade-07,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-07.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-10.svg
spade-08,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-08.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-11.svg
spade-09,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-09.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/spade-12.svg
king-01,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/king-01.svg,https://raw.githubusercontent.com/rayzg/other-games/master/chess-ish/playingcards.io/king-01.svg
