label,priority,character,description
Dealer,1,Dealer,"Before each trick, Dealer (the character, not the player dealing the cards) may exchange his hand with another player if the other player agrees. Dealer cannot force an exchange."
Jiu-Jitsu,2,Jiu-Jitsu,"Once per game, Jiu-Jitsu may swap two cards in a trick that are next to each in the rank order. Example: Jiu-Jitsu stops the game and decides that a nine beats a ten in that trick. Or the nine of trump beats the jack of trump. Or the ten of trump beats the queen of trump (as the jack of trump is ranked higher, the queen and ten are next to each other in the rank order)."
Ultimo,3,Ultimo,"If he wants to, Ultimo may take the last trick. If the queen of stars (Justice) is using her power in that game, Ultimo only gets his own card and the 5 points for the last trick."
Trumphator,4,Trumphator,"After the cards have been dealt, Trumphator may reject the trump suit determined by the face-up card and make the card dealt second-to-last determine the trump suit. Trumphator may not look at the second card before deciding to use his power."
Computer,5,Computer,May add or subtract 5 points to his score at the end of the game.
Thief,6,Thief,"After the cards have been dealt, Thief may steal the trump card (the face-up card dealt last). In return, he gives the dealer one card from his hand. If the Thief is the dealer for this game, he may force the player holding the six of trump in his hand to exchange it with the face-up trump card."
Peeping Tom,7,Peeping Tom,"May ask another player once per game to show him 5 cards from his hand. The named player decides which 5 cards to show. If he has 5 or less cards at that time, he has to show all of them."
Quizmaster,8,Quizmaster,"After each trick, the Quizmaster may ask an opponent a question about his cards, which he has to answer truthfully with yes or no. May also disclose any information about his own hand that he wants to."
Feminist,9,Feminist,"May refuse to take a trick that contains both a queen and a king or jack. If Feminist uses her power, the second highest card in that trick wins the trick. She is not obligated to refuse such a trick, she can take it if she wants to."
Shyness,10,Shyness,"May refuse to lead a trick. Instead of leading herself, she draws a card to be lead from another player's hand (without looking at the hand or revealing the card). The other player may refuse to lead that card, in which case she draws another card, which then has to be played."
Tea Party,11,Tea Party,"After every player has put down a card, Tea Party gets one card each from both of the other players. She looks at the cards and give both players a card back (it can be the same they gave her)."
