label,image
heart-06,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-06.svg
heart-07,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-07.svg
heart-08,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-08.svg
heart-09,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-09.svg
heart-10,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-10.svg
heart-a,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-a.svg
heart-j,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-j.svg
heart-k,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-k.svg
heart-q,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/heart-q.svg
lizard-06,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-06.svg
lizard-07,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-07.svg
lizard-08,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-08.svg
lizard-09,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-09.svg
lizard-10,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-10.svg
lizard-a,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-a.svg
lizard-j,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-j.svg
lizard-k,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-k.svg
lizard-q,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/lizard-q.svg
raven-06,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-06.svg
raven-07,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-07.svg
raven-08,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-08.svg
raven-09,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-09.svg
raven-10,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-10.svg
raven-a,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-a.svg
raven-j,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-j.svg
raven-k,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-k.svg
raven-q,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/raven-q.svg
star-06,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-06.svg
star-07,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-07.svg
star-08,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-08.svg
star-09,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-09.svg
star-10,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-10.svg
star-a,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-a.svg
star-j,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-j.svg
star-k,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-k.svg
star-q,https://raw.githubusercontent.com/rayzg/other-games/master/cosmic-eidex/playingcards.io/star-q.svg
