label,image
tile-black,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-black.svg
tile-brown,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-brown.svg
tile-dark-blue,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-dark-blue.svg
tile-dark-green,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-dark-green.svg
tile-grey,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-grey.svg
tile-light-blue,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-light-blue.svg
tile-light-green,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-light-green.svg
tile-orange,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-orange.svg
tile-pink,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-pink.svg
tile-purple,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-purple.svg
tile-red,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-red.svg
tile-white,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-white.svg
tile-yellow,https://raw.githubusercontent.com/rayzg/other-games/master/entropy/playingcards.io/tile-yellow.svg
