label,image
1,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/01.svg
2,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/02.svg
3,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/03.svg
4,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/04.svg
5,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/05.svg
6,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/06.svg
7,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/07.svg
8,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/08.svg
9,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/09.svg
10,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/10.svg
11,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/11.svg
12,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/12.svg
13,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/13.svg
14,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/14.svg
15,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/15.svg
16,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/16.svg
17,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/17.svg
18,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/18.svg
19,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/19.svg
20,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/20.svg
21,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/21.svg
22,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/22.svg
club-1,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/club-1.svg
club-2,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/club-2.svg
club-3,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/club-3.svg
club-4,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/club-4.svg
club-5,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/club-5.svg
diamond-1,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/diamond-1.svg
diamond-2,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/diamond-2.svg
diamond-3,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/diamond-3.svg
diamond-4,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/diamond-4.svg
diamond-5,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/diamond-5.svg
heart-1,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/heart-1.svg
heart-2,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/heart-2.svg
heart-3,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/heart-3.svg
heart-4,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/heart-4.svg
heart-5,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/heart-5.svg
spade-1,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/spade-1.svg
spade-2,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/spade-2.svg
spade-3,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/spade-3.svg
spade-4,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/spade-4.svg
spade-5,https://raw.githubusercontent.com/rayzg/other-games/master/hungarian-tarokk/playingcards.io/spade-5.svg
