label,image
dk-club-09,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-club-09.svg
dk-club-10,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-club-10.svg
dk-club-a,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-club-a.svg
dk-club-j,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-club-j.svg
dk-club-k,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-club-k.svg
dk-club-q,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-club-q.svg
dk-diamond-09,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-diamond-09.svg
dk-diamond-10,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-diamond-10.svg
dk-diamond-a,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-diamond-a.svg
dk-diamond-j,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-diamond-j.svg
dk-diamond-k,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-diamond-k.svg
dk-diamond-q,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-diamond-q.svg
dk-heart-09,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-heart-09.svg
dk-heart-10,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-heart-10.svg
dk-heart-a,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-heart-a.svg
dk-heart-j,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-heart-j.svg
dk-heart-k,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-heart-k.svg
dk-heart-q,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-heart-q.svg
dk-space-10,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-space-10.svg
dk-spade-09,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-spade-09.svg
dk-spade-a,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-spade-a.svg
dk-spade-j,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-spade-j.svg
dk-spade-k,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-spade-k.svg
dk-spade-q,https://raw.githubusercontent.com/rayzg/other-games/master/kop/playingcards.io/dk-spade-q.svg
