label,image
A,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/A.svg
B,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/B.svg
C,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/C.svg
D,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/D.svg
E,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/E.svg
F,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/F.svg
G,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/G.svg
H,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/H.svg
I,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/I.svg
J,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/J.svg
K,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/K.svg
L,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/L.svg
M,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/M.svg
N,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/N.svg
O,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/O.svg
P,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/P.svg
Qu,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/Qu.svg
R,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/R.svg
S,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/S.svg
T,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/T.svg
U,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/U.svg
V,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/V.svg
W,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/W.svg
X,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/X.svg
Y,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/Y.svg
Z,https://raw.githubusercontent.com/rayzg/other-games/master/last-word/playingcards.io/Z.svg
