label,image
club-02,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-02.svg
club-03,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-03.svg
club-04,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-04.svg
club-05,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-05.svg
club-06,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-06.svg
club-07,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-07.svg
club-08,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-08.svg
club-09,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-09.svg
club-10,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-10.svg
club-11,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-11.svg
club-12,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-12.svg
club-13,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-13.svg
club-14,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/club-14.svg
diamond-02,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-02.svg
diamond-03,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-03.svg
diamond-04,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-04.svg
diamond-05,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-05.svg
diamond-06,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-06.svg
diamond-07,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-07.svg
diamond-08,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-08.svg
diamond-09,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-09.svg
diamond-10,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-10.svg
diamond-11,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-11.svg
diamond-12,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-12.svg
diamond-13,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-13.svg
diamond-14,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/diamond-14.svg
heart-02,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-02.svg
heart-03,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-03.svg
heart-04,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-04.svg
heart-05,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-05.svg
heart-06,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-06.svg
heart-07,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-07.svg
heart-08,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-08.svg
heart-09,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-09.svg
heart-10,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-10.svg
heart-11,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-11.svg
heart-12,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-12.svg
heart-13,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-13.svg
heart-14,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/heart-14.svg
indicator-02,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-02.svg
indicator-03,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-03.svg
indicator-04,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-04.svg
indicator-05,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-05.svg
indicator-06,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-06.svg
indicator-07,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-07.svg
indicator-08,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-08.svg
indicator-09,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-09.svg
indicator-10,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-10.svg
indicator-11,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-11.svg
indicator-12,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-12.svg
indicator-13,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-13.svg
indicator-14,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-14.svg
indicator-club,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/indicator-club.svg
