label,image
number-000,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-000.svg
number-001,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-001.svg
number-002,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-002.svg
number-003,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-003.svg
number-004,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-004.svg
number-005,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-005.svg
number-006,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-006.svg
number-007,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-007.svg
number-008,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-008.svg
number-009,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-009.svg
number-010,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-010.svg
number-011,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-011.svg
number-012,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-012.svg
number-013,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-013.svg
number-014,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-014.svg
number-015,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-015.svg
number-016,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-016.svg
number-017,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-017.svg
number-018,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-018.svg
number-019,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-019.svg
number-020,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-020.svg
number-021,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-021.svg
number-022,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-022.svg
number-023,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-023.svg
number-024,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-024.svg
number-025,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-025.svg
number-026,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-026.svg
number-027,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-027.svg
number-028,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-028.svg
number-029,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/number-029.svg
