label,image
square-000,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-000.svg
square-001,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-001.svg
square-002,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-002.svg
square-003,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-003.svg
square-004,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-004.svg
square-005,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-005.svg
square-006,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-006.svg
square-007,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-007.svg
square-008,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-008.svg
square-009,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-009.svg
square-010,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-010.svg
square-011,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-011.svg
square-012,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-012.svg
square-013,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-013.svg
square-014,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-014.svg
square-015,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-015.svg
square-016,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-016.svg
square-017,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-017.svg
square-018,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-018.svg
square-019,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-019.svg
square-020,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/square-numeric/tile-020.svg
