label,image
club-02,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-02.svg
club-03,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-03.svg
club-04,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-04.svg
club-05,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-05.svg
club-06,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-06.svg
club-07,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-07.svg
club-08,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-08.svg
club-09,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-09.svg
club-10,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-10.svg
club-a,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-a.svg
club-j,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-j.svg
club-k,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-k.svg
club-q,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/club-q.svg
diamond-02,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-02.svg
diamond-03,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-03.svg
diamond-04,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-04.svg
diamond-05,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-05.svg
diamond-06,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-06.svg
diamond-07,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-07.svg
diamond-08,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-08.svg
diamond-09,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-09.svg
diamond-10,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-10.svg
diamond-a,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-a.svg
diamond-j,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-j.svg
diamond-k,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-k.svg
diamond-q,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/diamond-q.svg
heart-02,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-02.svg
heart-03,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-03.svg
heart-04,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-04.svg
heart-05,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-05.svg
heart-06,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-06.svg
heart-07,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-07.svg
heart-08,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-08.svg
heart-09,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-09.svg
heart-10,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-10.svg
heart-a,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-a.svg
heart-j,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-j.svg
heart-k,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-k.svg
heart-q,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/heart-q.svg
joker-black,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/joker-black.svg
joker-red,https://raw.githubusercontent.com/rayzg/other-games/master/playing-card-tiles/playingcards.io/transparent/joker-red.svg
