label,image
tile-blue-diversion,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-diversion.svg
tile-blue-double-agent,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-double-agent.svg
tile-blue-immigration,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-immigration.svg
tile-blue-informant,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-informant.svg
tile-blue-master-of-disguise,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-master-of-disguise.svg
tile-blue-militia,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-militia.svg
tile-blue-police,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-police.svg
tile-blue-recruiter,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-recruiter.svg
tile-blue-ringleader,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-ringleader.svg
tile-blue-saboteur,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-saboteur.svg
tile-blue-scientist,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-blue-scientist.svg
