label,image
tile-red-diversion,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-diversion.svg
tile-red-double-agent,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-double-agent.svg
tile-red-immigration,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-immigration.svg
tile-red-informant,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-informant.svg
tile-red-master-of-disguise,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-master-of-disguise.svg
tile-red-militia,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-militia.svg
tile-red-police,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-police.svg
tile-red-recruiter,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-recruiter.svg
tile-red-ringleader,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-ringleader.svg
tile-red-saboteur,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-saboteur.svg
tile-red-scientist,https://raw.githubusercontent.com/rayzg/other-games/master/sleepers/playingcards.io/tile-red-scientist.svg
