label,image
club-07,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-07.jpg
club-08,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-08.jpg
club-09,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-09.jpg
club-10,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-10.jpg
club-jack,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-jack.jpg
club-king,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-king.jpg
club-knight,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-knight.jpg
club-queen,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/club-queen.jpg
diamond-01,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-01.jpg
diamond-02,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-02.jpg
diamond-03,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-03.jpg
diamond-04,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-04.jpg
diamond-jack,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-jack.jpg
diamond-king,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-king.jpg
diamond-knight,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-knight.jpg
diamond-queen,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/diamond-queen.jpg
fool,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/fool.jpg
heart-01,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-01.jpg
heart-02,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-02.jpg
heart-03,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-03.jpg
heart-04,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-04.jpg
heart-jack,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-jack.jpg
heart-king,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-king.jpg
heart-knight,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-knight.jpg
heart-queen,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/heart-queen.jpg
spade-07,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-07.jpg
spade-08,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-08.jpg
spade-09,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-09.jpg
spade-10,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-10.jpg
spade-jack,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-jack.jpg
spade-king,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-king.jpg
spade-knight,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-knight.jpg
spade-queen,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/spade-queen.jpg
trump-01,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-01.jpg
trump-02,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-02.jpg
trump-03,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-03.jpg
trump-04,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-04.jpg
trump-05,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-05.jpg
trump-06,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-06.jpg
trump-07,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-07.jpg
trump-08,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-08.jpg
trump-09,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-09.jpg
trump-10,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-10.jpg
trump-11,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-11.jpg
trump-12,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-12.jpg
trump-13,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-13.jpg
trump-14,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-14.jpg
trump-15,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-15.jpg
trump-16,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-16.jpg
trump-17,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-17.jpg
trump-18,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-18.jpg
trump-19,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-19.jpg
trump-20,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-20.jpg
trump-21,https://raw.githubusercontent.com/rayzg/other-games/master/tarock/playingcards.io/trump-21.jpg
