label,image
b2,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/b2.svg
b3,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/b3.svg
b4,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/b4.svg
b5,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/b5.svg
b6,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/b6.svg
b7,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/b7.svg
ba,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/ba.svg
bc,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/bc.svg
bf,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/bf.svg
br,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/br.svg
c2,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/c2.svg
c3,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/c3.svg
c4,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/c4.svg
c5,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/c5.svg
c6,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/c6.svg
c7,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/c7.svg
ca,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/ca.svg
cc,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/cc.svg
cf,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/cf.svg
cr,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/cr.svg
o2,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/o2.svg
o3,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/o3.svg
o4,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/o4.svg
o5,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/o5.svg
o6,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/o6.svg
o7,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/o7.svg
oa,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/oa.svg
oc,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/oc.svg
of,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/of.svg
or,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/or.svg
s2,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/s2.svg
s3,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/s3.svg
s4,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/s4.svg
s5,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/s5.svg
s6,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/s6.svg
s7,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/s7.svg
sa,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/sa.svg
sc,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/sc.svg
sf,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/sf.svg
sr,https://raw.githubusercontent.com/rayzg/other-games/master/trevigiane/playingcards.io/sr.svg
