label,image
A,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/A.svg
B,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/B.svg
C,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/C.svg
D,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/D.svg
E,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/E.svg
F,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/F.svg
G,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/G.svg
H,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/H.svg
I,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/I.svg
J,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/J.svg
K,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/K.svg
L,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/L.svg
M,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/M.svg
N,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/N.svg
O,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/O.svg
P,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/P.svg
Q,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/Q.svg
R,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/R.svg
S,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/S.svg
T,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/T.svg
U,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/U.svg
V,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/V.svg
W,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/W.svg
X,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/X.svg
Y,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/Y.svg
Z,https://raw.githubusercontent.com/rayzg/other-games/master/word-hustle/playingcards.io/Z.svg
