label,image,back
A,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/A.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/A.svg
B,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/B.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/B.svg
C,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/C.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/C.svg
D,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/D.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/D.svg
E,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/E.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/E.svg
F,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/F.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/F.svg
G,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/G.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/G.svg
H,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/H.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/H.svg
I,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/I.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/I.svg
J,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/J.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/J.svg
K,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/K.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/K.svg
L,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/L.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/L.svg
M,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/M.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/M.svg
N,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/N.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/N.svg
O,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/O.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/O.svg
P,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/P.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/P.svg
Q,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Q.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Q.svg
Qu,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Qu.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Qu.svg
R,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/R.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/R.svg
S,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/S.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/S.svg
T,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/T.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/T.svg
U,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/U.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/U.svg
V,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/V.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/V.svg
W,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/W.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/W.svg
X,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/X.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/X.svg
Y,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Y.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Y.svg
Z,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Z.svg,https://raw.githubusercontent.com/rayzg/other-games/master/wordsearch/playingcards.io/Z.svg
